Date,AAPL,AMZN,GOOGL,GS,JPM,META,MS,MSFT,TSLA
2020-01-02,72.46827697753906,94.90049743652344,67.92080688476562,203.18260192871094,119.03643035888672,208.3247833251953,43.0696907043457,152.5056915283203,28.68400001525879
2020-01-03,71.76372528076172,93.74849700927734,67.56549835205078,200.80670166015625,117.465576171875,207.22250366210938,42.374488830566406,150.60670471191406,29.534000396728516
2020-01-06,72.33555603027344,95.14399719238281,69.36638641357422,202.8617401123047,117.37215423583984,211.12522888183594,42.22551727294922,150.99600219726562,30.1026668548584
2020-01-07,71.99536895751953,95.34300231933594,69.23240661621094,204.19712829589844,115.37674713134766,211.58203125,42.14274978637695,149.61924743652344,31.270666122436523
2020-01-08,73.15350341796875,94.59850311279297,69.72518157958984,206.1654510498047,116.2768325805664,213.72705078125,42.68070983886719,152.00244140625,32.80933380126953
2020-01-09,74.70732879638672,95.05249786376953,70.45714569091797,210.36233520507812,116.70137023925781,216.7856903076172,43.08625030517578,153.90142822265625,32.089332580566406
2020-01-10,74.87622833251953,94.15799713134766,70.91219329833984,209.9374542236328,115.53809356689453,216.54734802246094,43.21039581298828,153.1892852783203,31.876667022705078
2020-01-13,76.47592163085938,94.56500244140625,71.46156311035156,212.62550354003906,116.49761199951172,220.3706512451172,43.6821403503418,155.03134155273438,34.990665435791016
2020-01-14,75.44322967529297,93.47200012207031,70.99310302734375,213.01571655273438,117.85617065429688,217.5404052734375,43.748348236083984,153.93942260742188,35.861331939697266
2020-01-15,75.11990356445312,93.10099792480469,71.42037200927734,212.62550354003906,116.09003448486328,219.6158905029297,43.81456756591797,154.93634033203125,34.56666564941406
2020-01-16,76.06092071533203,93.89700317382812,71.96427154541016,216.5361785888672,116.54005432128906,220.2316131591797,46.71124267578125,157.77529907226562,34.232666015625
2020-01-17,76.90296936035156,93.23600006103516,73.42124938964844,216.31076049804688,117.34667205810547,220.59902954101562,47.59680938720703,158.65834045410156,34.03333282470703
2020-01-21,76.3818130493164,94.5999984741211,73.55672454833984,213.05038452148438,116.19190979003906,219.9038848876953,46.2808837890625,158.08865356445312,36.47999954223633
2020-01-22,76.65446472167969,94.37300109863281,73.6371078491211,214.22097778320312,116.0560531616211,219.7847137451172,46.23122024536133,157.3290557861328,37.97066879272461
2020-01-23,77.02361297607422,94.22899627685547,73.67781066894531,212.94630432128906,115.93718719482422,218.2355499267578,45.958106994628906,158.29747009277344,38.14666748046875
2020-01-24,76.8016357421875,93.08200073242188,72.7587661743164,209.772705078125,113.05868530273438,216.4281768798828,45.147029876708984,156.70242309570312,37.654666900634766
2020-01-27,74.54326629638672,91.41699981689453,71.04967498779297,206.4949951171875,112.10771942138672,213.3794708251953,43.95525360107422,154.08181762695312,37.201332092285156
2020-01-28,76.65203857421875,92.6624984741211,71.98114013671875,210.344970703125,114.14556884765625,216.2792205810547,44.70840072631836,157.10118103027344,37.793331146240234
2020-01-29,78.25653839111328,92.9000015258789,72.28881072998047,208.2118682861328,113.97573852539062,221.6814727783203,44.427001953125,159.5508575439453,38.732666015625
2020-01-30,78.14315795898438,93.53399658203125,72.16722869873047,211.68902587890625,115.38523864746094,208.07650756835938,44.83519744873047,164.0514373779297,42.72066879272461
2020-01-31,74.6783676147461,100.43599700927734,71.10177612304688,206.1567840576172,112.38790130615234,200.50938415527344,43.535621643066406,161.63018798828125,43.371334075927734
2020-02-03,74.4732894897461,100.20999908447266,73.5740966796875,207.24935913085938,113.2455062866211,202.77354431152344,43.81886291503906,165.570556640625,52.0
2020-02-04,76.93193817138672,102.4834976196289,71.72853088378906,209.7900390625,114.87582397460938,208.37445068359375,45.001808166503906,171.02052307128906,59.137332916259766
